"","date","Switzerland_all","Switzerland_all_scraped","Switzerland_AG","Switzerland_AI","Switzerland_AR","Switzerland_BE","Switzerland_BL","Switzerland_BS","Switzerland_FR","Switzerland_GE","Switzerland_GL","Switzerland_GR","Switzerland_JU","Switzerland_LU","Switzerland_NE","Switzerland_NW","Switzerland_OW","Switzerland_SG","Switzerland_SH","Switzerland_SO","Switzerland_SZ","Switzerland_TG","Switzerland_TI","Switzerland_UR","Switzerland_VD","Switzerland_VS","Switzerland_ZG","Switzerland_ZH"
"21",2020-02-11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"22",2020-02-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"23",2020-02-13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"24",2020-02-14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"25",2020-02-15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"26",2020-02-16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"27",2020-02-17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"28",2020-02-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"29",2020-02-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"30",2020-02-20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"31",2020-02-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"32",2020-02-22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"33",2020-02-23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"34",2020-02-24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"35",2020-02-25,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"36",2020-02-26,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"37",2020-02-27,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"38",2020-02-28,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"39",2020-02-29,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"40",2020-03-01,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"41",2020-03-02,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"42",2020-03-03,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"43",2020-03-04,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"44",2020-03-05,114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"45",2020-03-06,214,207,10,0,1,20,9,17,7,16,0,13,1,2,8,0,0,1,0,1,7,1,37,0,23,4,5,24
"46",2020-03-07,268,262,14,0,1,25,13,22,7,25,0,15,3,4,11,0,0,1,0,1,7,1,43,0,30,5,6,28
"47",2020-03-08,337,331,14,0,1,31,19,25,8,38,0,17,3,6,13,0,0,3,0,1,7,1,58,0,40,5,7,34
"48",2020-03-09,374,372,14,0,2,34,20,29,10,40,0,17,3,5,17,0,0,3,0,1,7,2,67,0,51,7,7,36
"49",2020-03-10,491,490,15,0,2,39,22,39,12,53,0,18,4,6,27,0,0,7,0,1,7,3,91,0,77,15,7,45
"50",2020-03-11,652,638,17,0,2,41,23,49,16,78,2,23,5,7,27,3,0,10,1,3,8,4,131,0,108,18,7,55
"51",2020-03-12,652,851,22,0,2,51,29,80,26,76,2,28,7,8,33,4,0,14,1,7,9,5,170,0,156,23,7,91
"52",2020-03-13,1139,1122,28,0,5,62,42,111,31,86,4,39,7,13,37,5,7,19,1,8,10,5,218,2,222,29,7,124
"53",2020-03-14,1359,1357,31,2,5,78,48,119,38,107,5,47,10,19,39,5,8,26,1,10,13,5,262,2,273,47,9,148
"54",2020-03-15,2200,2155,40,3,4,104,57,127,44,294,5,60,14,30,57,7,8,29,1,13,13,10,285,1,331,63,10,213
"55",2020-03-16,2200,2327,52,3,4,131,73,144,50,382,5,80,19,43,74,10,10,35,2,18,15,17,330,2,461,77,11,270
"56",2020-03-17,2700,2650,67,3,6,152,93,165,56,395,6,100,23,50,77,12,13,47,4,24,21,23,422,3,695,95,13,294
"57",2020-03-18,3028,3438,101,3,10,193,116,182,67,468,10,116,25,48,99,18,16,61,6,31,29,32,511,5,721,129,17,424
"58",2020-03-19,4075,4281,118,3,16,282,139,222,82,645,16,123,27,63,132,25,17,85,8,39,35,36,638,7,919,232,23,526
"59",2020-03-20,5294,5243,164,4,23,360,176,244,94,826,20,160,35,79,158,33,22,106,12,51,48,52,750,9,1175,320,30,673
